=== bench . ===
goos: linux
goarch: amd64
pkg: github.com/axonops/audit
cpu: AMD Ryzen 9 7950X 16-Core Processor            
BenchmarkValidateFields_Success-32                         	10931799	       107.8 ns/op	       0 B/op	       0 allocs/op
BenchmarkAudit-32                                          	 3013674	       421.5 ns/op	     219 B/op	       1 allocs/op
BenchmarkAudit-32                                          	 2799346	       410.6 ns/op	     207 B/op	       1 allocs/op
BenchmarkAudit-32                                          	 2713969	       419.6 ns/op	     212 B/op	       1 allocs/op
BenchmarkAuditDisabledCategory-32                          	 3482256	       341.8 ns/op	     175 B/op	       1 allocs/op
BenchmarkAuditDisabledCategory-32                          	 3489073	       321.0 ns/op	     169 B/op	       1 allocs/op
BenchmarkAuditDisabledCategory-32                          	 3725108	       326.1 ns/op	     167 B/op	       1 allocs/op
BenchmarkAuditDisabledCategory-32                          	 3458612	       323.7 ns/op	     169 B/op	       1 allocs/op
BenchmarkAuditDisabledCategory-32                          	 3794918	       336.6 ns/op	     167 B/op	       1 allocs/op
BenchmarkAuditDisabledAuditor-32                           	64863870	        18.56 ns/op	      24 B/op	       1 allocs/op
BenchmarkAuditDisabledAuditor-32                           	66677264	        21.36 ns/op	      24 B/op	       1 allocs/op
BenchmarkAuditDisabledAuditor-32                           	65474848	        21.03 ns/op	      24 B/op	       1 allocs/op
BenchmarkAuditDisabledAuditor-32                           	63984960	        20.73 ns/op	      24 B/op	       1 allocs/op
BenchmarkAuditDisabledAuditor-32                           	68292824	        18.57 ns/op	      24 B/op	       1 allocs/op
BenchmarkAudit_ViaHandle_vs_NewEvent/NewEvent-32           	 2646055	       460.3 ns/op	      25 B/op	       1 allocs/op
BenchmarkAudit_ViaHandle_vs_NewEvent/NewEvent-32           	 2515340	       456.6 ns/op	      24 B/op	       1 allocs/op
BenchmarkAudit_ViaHandle_vs_NewEvent/NewEvent-32           	 2687575	       448.3 ns/op	      24 B/op	       1 allocs/op
BenchmarkAudit_ViaHandle_vs_NewEvent/NewEvent-32           	 2643184	       448.7 ns/op	      24 B/op	       1 allocs/op
BenchmarkAudit_ViaHandle_vs_NewEvent/NewEvent-32           	 2647744	       449.3 ns/op	      24 B/op	       1 allocs/op
BenchmarkAudit_ViaHandle_vs_NewEvent/EventHandle-32        	 2705463	       424.0 ns/op	       0 B/op	       0 allocs/op
BenchmarkAudit_ViaHandle_vs_NewEvent/EventHandle-32        	 2795574	       404.9 ns/op	       0 B/op	       0 allocs/op
BenchmarkAudit_ViaHandle_vs_NewEvent/EventHandle-32        	 2951500	       407.1 ns/op	       0 B/op	       0 allocs/op
BenchmarkAudit_ViaHandle_vs_NewEvent/EventHandle-32        	 3095742	       414.2 ns/op	       0 B/op	       0 allocs/op
BenchmarkAudit_ViaHandle_vs_NewEvent/EventHandle-32        	 2848393	       415.8 ns/op	       0 B/op	       0 allocs/op
BenchmarkAudit_RealisticFields-32                          	 1302943	       903.7 ns/op	     377 B/op	       1 allocs/op
BenchmarkAudit_RealisticFields-32                          	 1321530	       895.9 ns/op	     365 B/op	       1 allocs/op
BenchmarkAudit_RealisticFields-32                          	 1325084	       903.9 ns/op	     372 B/op	       1 allocs/op
BenchmarkAudit_RealisticFields-32                          	 1329469	       905.2 ns/op	     377 B/op	       1 allocs/op
BenchmarkAudit_RealisticFields-32                          	 1323482	       918.1 ns/op	     369 B/op	       1 allocs/op
BenchmarkAudit_Parallel-32                                 	14436962	        83.68 ns/op	      25 B/op	       1 allocs/op
BenchmarkAudit_Parallel-32                                 	14355379	        82.72 ns/op	      26 B/op	       1 allocs/op
BenchmarkAudit_Parallel-32                                 	14440940	        80.62 ns/op	      25 B/op	       1 allocs/op
BenchmarkAudit_Parallel-32                                 	14429610	        80.24 ns/op	      25 B/op	       1 allocs/op
BenchmarkAudit_Parallel-32                                 	14248509	        79.06 ns/op	      24 B/op	       1 allocs/op
BenchmarkAudit_PoolAmortised-32                            	 2485038	       446.5 ns/op	     213 B/op	       1 allocs/op
BenchmarkAudit_PoolAmortised-32                            	 2659882	       427.6 ns/op	     206 B/op	       1 allocs/op
BenchmarkAudit_PoolAmortised-32                            	 2810017	       441.9 ns/op	     206 B/op	       1 allocs/op
BenchmarkAudit_PoolAmortised-32                            	 2745391	       448.5 ns/op	     207 B/op	       1 allocs/op
BenchmarkAudit_PoolAmortised-32                            	 2663781	       442.8 ns/op	     209 B/op	       1 allocs/op
BenchmarkAudit_FanOut_SharedFormatter-32                   	 2646718	       411.1 ns/op	     396 B/op	       1 allocs/op
BenchmarkAudit_FanOut_SharedFormatter-32                   	 2863880	       397.1 ns/op	     372 B/op	       1 allocs/op
BenchmarkAudit_FanOut_SharedFormatter-32                   	 2632694	       406.2 ns/op	     378 B/op	       1 allocs/op
BenchmarkAudit_FanOut_SharedFormatter-32                   	 2998039	       411.0 ns/op	     368 B/op	       1 allocs/op
BenchmarkAudit_FanOut_SharedFormatter-32                   	 2872662	       402.1 ns/op	     366 B/op	       1 allocs/op
BenchmarkAudit_FanOut_MixedFormatters-32                   	 2858509	       401.5 ns/op	     285 B/op	       1 allocs/op
BenchmarkAudit_FanOut_MixedFormatters-32                   	 3049197	       386.8 ns/op	     266 B/op	       1 allocs/op
BenchmarkAudit_FanOut_MixedFormatters-32                   	 3002666	       399.2 ns/op	     271 B/op	       1 allocs/op
BenchmarkAudit_FanOut_MixedFormatters-32                   	 2816454	       401.4 ns/op	     273 B/op	       1 allocs/op
BenchmarkAudit_FanOut_MixedFormatters-32                   	 2886247	       385.1 ns/op	     270 B/op	       1 allocs/op
BenchmarkAudit_FanOut_FilteredOutputs-32                   	 2493900	       431.6 ns/op	     314 B/op	       1 allocs/op
BenchmarkAudit_FanOut_FilteredOutputs-32                   	 2717846	       408.2 ns/op	     302 B/op	       1 allocs/op
BenchmarkAudit_FanOut_FilteredOutputs-32                   	 2628013	       411.8 ns/op	     289 B/op	       1 allocs/op
BenchmarkAudit_FanOut_FilteredOutputs-32                   	 2821820	       420.4 ns/op	     304 B/op	       1 allocs/op
BenchmarkAudit_FanOut_FilteredOutputs-32                   	 2834239	       402.9 ns/op	     297 B/op	       1 allocs/op
BenchmarkAudit_FanOut_5Outputs-32                          	 2670282	       393.0 ns/op	     486 B/op	       2 allocs/op
BenchmarkAudit_FanOut_5Outputs-32                          	 3016574	       386.6 ns/op	     455 B/op	       2 allocs/op
BenchmarkAudit_FanOut_5Outputs-32                          	 2991982	       390.6 ns/op	     447 B/op	       1 allocs/op
BenchmarkAudit_FanOut_5Outputs-32                          	 3041992	       384.8 ns/op	     450 B/op	       2 allocs/op
BenchmarkAudit_FanOut_5Outputs-32                          	 2736736	       389.6 ns/op	     463 B/op	       2 allocs/op
BenchmarkAudit_EndToEnd-32                                 	 2534364	       449.9 ns/op	     220 B/op	       1 allocs/op
BenchmarkAudit_EndToEnd-32                                 	 2576620	       445.4 ns/op	     220 B/op	       1 allocs/op
BenchmarkAudit_EndToEnd-32                                 	 2518204	       464.0 ns/op	     225 B/op	       1 allocs/op
BenchmarkAudit_EndToEnd-32                                 	 2583420	       448.6 ns/op	     218 B/op	       1 allocs/op
BenchmarkAudit_EndToEnd-32                                 	 2557438	       448.4 ns/op	     219 B/op	       1 allocs/op
BenchmarkAudit_WithHMAC-32                                 	 2590927	       428.5 ns/op	     200 B/op	       1 allocs/op
BenchmarkAudit_WithHMAC-32                                 	 2601573	       414.7 ns/op	     197 B/op	       1 allocs/op
BenchmarkAudit_WithHMAC-32                                 	 2636949	       409.3 ns/op	     197 B/op	       1 allocs/op
BenchmarkAudit_WithHMAC-32                                 	 2645216	       438.4 ns/op	     199 B/op	       1 allocs/op
BenchmarkAudit_WithHMAC-32                                 	 2769932	       426.6 ns/op	     192 B/op	       1 allocs/op
BenchmarkStandardFieldDefaults_Applied-32                  	 1972327	       580.6 ns/op	     272 B/op	       1 allocs/op
BenchmarkStandardFieldDefaults_Applied-32                  	 2011083	       579.1 ns/op	     264 B/op	       1 allocs/op
BenchmarkStandardFieldDefaults_Applied-32                  	 1958347	       584.4 ns/op	     269 B/op	       1 allocs/op
BenchmarkStandardFieldDefaults_Applied-32                  	 1986344	       605.9 ns/op	     276 B/op	       1 allocs/op
BenchmarkStandardFieldDefaults_Applied-32                  	 1839375	       561.1 ns/op	     261 B/op	       1 allocs/op
BenchmarkDeliverToOutputs_WithMetadataWriter-32            	 2514867	       431.2 ns/op	     354 B/op	       1 allocs/op
BenchmarkDeliverToOutputs_WithMetadataWriter-32            	 2409562	       441.4 ns/op	     323 B/op	       1 allocs/op
BenchmarkDeliverToOutputs_WithMetadataWriter-32            	 2288050	       456.6 ns/op	     334 B/op	       1 allocs/op
BenchmarkDeliverToOutputs_WithMetadataWriter-32            	 2496315	       441.9 ns/op	     360 B/op	       1 allocs/op
BenchmarkDeliverToOutputs_WithMetadataWriter-32            	 2446988	       437.9 ns/op	     363 B/op	       1 allocs/op
BenchmarkDeliverToOutputs_MixedOutputs-32                  	 2388409	       419.8 ns/op	     402 B/op	       1 allocs/op
BenchmarkDeliverToOutputs_MixedOutputs-32                  	 2585694	       428.2 ns/op	     415 B/op	       1 allocs/op
BenchmarkDeliverToOutputs_MixedOutputs-32                  	 2583753	       439.2 ns/op	     419 B/op	       1 allocs/op
BenchmarkDeliverToOutputs_MixedOutputs-32                  	 2492071	       440.2 ns/op	     428 B/op	       1 allocs/op
BenchmarkDeliverToOutputs_MixedOutputs-32                  	 2576752	       433.7 ns/op	     422 B/op	       1 allocs/op
BenchmarkProcessEntry_AsyncOutputs-32                      	  824601	      1634 ns/op	     729 B/op	       3 allocs/op
BenchmarkProcessEntry_AsyncOutputs-32                      	  675956	      1595 ns/op	     729 B/op	       3 allocs/op
BenchmarkProcessEntry_AsyncOutputs-32                      	  733561	      1606 ns/op	     729 B/op	       3 allocs/op
BenchmarkProcessEntry_AsyncOutputs-32                      	  785072	      1623 ns/op	     729 B/op	       3 allocs/op
BenchmarkProcessEntry_AsyncOutputs-32                      	  697789	      1591 ns/op	     729 B/op	       3 allocs/op
BenchmarkOutputClose_Drain/events=100-32                   	   50214	     24013 ns/op	    6120 B/op	      25 allocs/op
BenchmarkOutputClose_Drain/events=100-32                   	   53822	     20843 ns/op	    5346 B/op	      23 allocs/op
BenchmarkOutputClose_Drain/events=100-32                   	   53229	     21518 ns/op	    5470 B/op	      24 allocs/op
BenchmarkOutputClose_Drain/events=100-32                   	   46440	     24488 ns/op	    6277 B/op	      26 allocs/op
BenchmarkOutputClose_Drain/events=100-32                   	   45225	     23964 ns/op	    6116 B/op	      25 allocs/op
BenchmarkOutputClose_Drain/events=1000-32                  	    2700	    449298 ns/op	  215758 B/op	     615 allocs/op
BenchmarkOutputClose_Drain/events=1000-32                  	    2605	    456810 ns/op	  209665 B/op	     594 allocs/op
BenchmarkOutputClose_Drain/events=1000-32                  	    2518	    455838 ns/op	  209876 B/op	     596 allocs/op
BenchmarkOutputClose_Drain/events=1000-32                  	    2596	    464073 ns/op	  213108 B/op	     605 allocs/op
BenchmarkOutputClose_Drain/events=1000-32                  	    2458	    462574 ns/op	  211331 B/op	     599 allocs/op
BenchmarkOutputClose_Drain/events=10000-32                 	     314	   3688893 ns/op	 1969324 B/op	    4559 allocs/op
BenchmarkOutputClose_Drain/events=10000-32                 	     330	   3635326 ns/op	 1918687 B/op	    4430 allocs/op
BenchmarkOutputClose_Drain/events=10000-32                 	     326	   3594900 ns/op	 1961135 B/op	    4532 allocs/op
BenchmarkOutputClose_Drain/events=10000-32                 	     319	   3698206 ns/op	 2026406 B/op	    4683 allocs/op
BenchmarkOutputClose_Drain/events=10000-32                 	     313	   3707429 ns/op	 2045507 B/op	    4732 allocs/op
BenchmarkFilterCheck-32                                    	74494656	        16.01 ns/op	       0 B/op	       0 allocs/op
BenchmarkFilterCheck-32                                    	74987730	        16.73 ns/op	       0 B/op	       0 allocs/op
BenchmarkFilterCheck-32                                    	71783407	        16.65 ns/op	       0 B/op	       0 allocs/op
BenchmarkFilterCheck-32                                    	71511681	        16.76 ns/op	       0 B/op	       0 allocs/op
BenchmarkFilterCheck-32                                    	73595714	        15.96 ns/op	       0 B/op	       0 allocs/op
BenchmarkFilterCheck_Parallel-32                           	1000000000	         1.048 ns/op	       0 B/op	       0 allocs/op
BenchmarkFilterCheck_Parallel-32                           	1000000000	         1.071 ns/op	       0 B/op	       0 allocs/op
BenchmarkFilterCheck_Parallel-32                           	1000000000	         1.018 ns/op	       0 B/op	       0 allocs/op
BenchmarkFilterCheck_Parallel-32                           	1000000000	         1.052 ns/op	       0 B/op	       0 allocs/op
BenchmarkFilterCheck_Parallel-32                           	1000000000	         1.056 ns/op	       0 B/op	       0 allocs/op
BenchmarkFilterCheck_ReadWriteContention-32                	1000000000	         1.062 ns/op	       0 B/op	       0 allocs/op
BenchmarkFilterCheck_ReadWriteContention-32                	1000000000	         1.056 ns/op	       0 B/op	       0 allocs/op
BenchmarkFilterCheck_ReadWriteContention-32                	1000000000	         1.039 ns/op	       0 B/op	       0 allocs/op
BenchmarkFilterCheck_ReadWriteContention-32                	1000000000	         1.063 ns/op	       0 B/op	       0 allocs/op
BenchmarkFilterCheck_ReadWriteContention-32                	1000000000	         1.048 ns/op	       0 B/op	       0 allocs/op
BenchmarkAudit_AuditEventContext_Background-32             	 2835866	       451.3 ns/op	     211 B/op	       1 allocs/op
BenchmarkAudit_AuditEventContext_Background-32             	 2891068	       421.7 ns/op	     207 B/op	       1 allocs/op
BenchmarkAudit_AuditEventContext_Background-32             	 2878995	       429.5 ns/op	     207 B/op	       1 allocs/op
BenchmarkAudit_AuditEventContext_Background-32             	 2956239	       411.0 ns/op	     199 B/op	       1 allocs/op
BenchmarkAudit_AuditEventContext_Background-32             	 2740502	       435.7 ns/op	     216 B/op	       1 allocs/op
BenchmarkAudit_AuditEventContext_HTTPRequestCtx-32         	 2776022	       436.4 ns/op	     213 B/op	       1 allocs/op
BenchmarkAudit_AuditEventContext_HTTPRequestCtx-32         	 2918278	       437.7 ns/op	     225 B/op	       1 allocs/op
BenchmarkAudit_AuditEventContext_HTTPRequestCtx-32         	 2850620	       414.0 ns/op	     203 B/op	       1 allocs/op
BenchmarkAudit_AuditEventContext_HTTPRequestCtx-32         	 3044625	       443.0 ns/op	     224 B/op	       1 allocs/op
BenchmarkAudit_AuditEventContext_HTTPRequestCtx-32         	 2561356	       418.7 ns/op	     216 B/op	       1 allocs/op
BenchmarkAudit_AuditEventContext_PreCancelled-32           	 1290728	       936.1 ns/op	      56 B/op	       3 allocs/op
BenchmarkAudit_AuditEventContext_PreCancelled-32           	 1276992	       931.7 ns/op	      56 B/op	       3 allocs/op
BenchmarkAudit_AuditEventContext_PreCancelled-32           	 1273981	       944.6 ns/op	      56 B/op	       3 allocs/op
BenchmarkAudit_AuditEventContext_PreCancelled-32           	 1268048	       952.0 ns/op	      56 B/op	       3 allocs/op
BenchmarkAudit_AuditEventContext_PreCancelled-32           	 1285299	       944.7 ns/op	      56 B/op	       3 allocs/op
BenchmarkAudit_AuditEventContext_Background_Parallel-32    	13497494	        82.40 ns/op	      24 B/op	       1 allocs/op
BenchmarkAudit_AuditEventContext_Background_Parallel-32    	14126505	        80.38 ns/op	      24 B/op	       1 allocs/op
BenchmarkAudit_AuditEventContext_Background_Parallel-32    	14545238	        81.56 ns/op	      25 B/op	       1 allocs/op
BenchmarkAudit_AuditEventContext_Background_Parallel-32    	14559780	        81.31 ns/op	      25 B/op	       1 allocs/op
BenchmarkAudit_AuditEventContext_Background_Parallel-32    	14656032	        80.40 ns/op	      24 B/op	       1 allocs/op
BenchmarkAudit_AuditEventContext_Sync_Background-32        	 1000000	      1148 ns/op	     440 B/op	       2 allocs/op
BenchmarkAudit_AuditEventContext_Sync_Background-32        	 1000000	      1122 ns/op	     439 B/op	       2 allocs/op
BenchmarkAudit_AuditEventContext_Sync_Background-32        	  979594	      1138 ns/op	     442 B/op	       2 allocs/op
BenchmarkAudit_AuditEventContext_Sync_Background-32        	 1000000	      1126 ns/op	     439 B/op	       2 allocs/op
BenchmarkAudit_AuditEventContext_Sync_Background-32        	 1000000	      1123 ns/op	     439 B/op	       2 allocs/op
BenchmarkEventHandle_AuditContext_Background-32            	 2620887	       401.2 ns/op	     179 B/op	       0 allocs/op
BenchmarkEventHandle_AuditContext_Background-32            	 3093865	       395.2 ns/op	     170 B/op	       0 allocs/op
BenchmarkEventHandle_AuditContext_Background-32            	 2968032	       383.5 ns/op	     162 B/op	       0 allocs/op
BenchmarkEventHandle_AuditContext_Background-32            	 3017320	       392.9 ns/op	     172 B/op	       0 allocs/op
BenchmarkEventHandle_AuditContext_Background-32            	 3050917	       395.8 ns/op	     170 B/op	       0 allocs/op
BenchmarkAppendPostFields_JSON-32                          	12041523	        96.76 ns/op	     160 B/op	       1 allocs/op
BenchmarkAppendPostFields_JSON-32                          	16692656	        77.83 ns/op	     160 B/op	       1 allocs/op
BenchmarkAppendPostFields_JSON-32                          	14336672	        85.83 ns/op	     160 B/op	       1 allocs/op
BenchmarkAppendPostFields_JSON-32                          	17876947	        72.37 ns/op	     160 B/op	       1 allocs/op
BenchmarkAppendPostFields_JSON-32                          	17753283	        77.56 ns/op	     160 B/op	       1 allocs/op
BenchmarkAppendPostFields_CEF-32                           	20386488	        62.12 ns/op	     128 B/op	       1 allocs/op
BenchmarkAppendPostFields_CEF-32                           	22107841	        55.04 ns/op	     128 B/op	       1 allocs/op
BenchmarkAppendPostFields_CEF-32                           	19401942	        61.00 ns/op	     128 B/op	       1 allocs/op
BenchmarkAppendPostFields_CEF-32                           	28390441	        48.37 ns/op	     128 B/op	       1 allocs/op
BenchmarkAppendPostFields_CEF-32                           	23870110	        53.31 ns/op	     128 B/op	       1 allocs/op
BenchmarkAppendPostFields_Disabled-32                      	902748505	         1.354 ns/op	       0 B/op	       0 allocs/op
BenchmarkAppendPostFields_Disabled-32                      	900778929	         1.339 ns/op	       0 B/op	       0 allocs/op
BenchmarkAppendPostFields_Disabled-32                      	903611204	         1.333 ns/op	       0 B/op	       0 allocs/op
BenchmarkAppendPostFields_Disabled-32                      	899118890	         1.331 ns/op	       0 B/op	       0 allocs/op
BenchmarkAppendPostFields_Disabled-32                      	901812346	         1.335 ns/op	       0 B/op	       0 allocs/op
BenchmarkAudit_FastPath_PipelineOnly-32                    	 2279458	       523.4 ns/op	       1 B/op	       0 allocs/op
BenchmarkAudit_FastPath_PipelineOnly-32                    	 2298451	       523.7 ns/op	       1 B/op	       0 allocs/op
BenchmarkAudit_FastPath_PipelineOnly-32                    	 2212900	       538.0 ns/op	       1 B/op	       0 allocs/op
BenchmarkAudit_FastPath_PipelineOnly-32                    	 2317209	       514.8 ns/op	       1 B/op	       0 allocs/op
BenchmarkAudit_FastPath_PipelineOnly-32                    	 2409747	       501.5 ns/op	       1 B/op	       0 allocs/op
BenchmarkAudit_FastPath_EndToEnd-32                        	  808708	      1473 ns/op	     720 B/op	       5 allocs/op
BenchmarkAudit_FastPath_EndToEnd-32                        	  996198	      1543 ns/op	     790 B/op	       5 allocs/op
BenchmarkAudit_FastPath_EndToEnd-32                        	  782877	      1576 ns/op	     707 B/op	       5 allocs/op
BenchmarkAudit_FastPath_EndToEnd-32                        	  724183	      1473 ns/op	     716 B/op	       5 allocs/op
BenchmarkAudit_FastPath_EndToEnd-32                        	  947106	      1562 ns/op	     780 B/op	       5 allocs/op
BenchmarkAudit_FastPath_Parallel-32                        	 7793308	       133.4 ns/op	     361 B/op	       3 allocs/op
BenchmarkAudit_FastPath_Parallel-32                        	 8730958	       131.5 ns/op	     361 B/op	       3 allocs/op
BenchmarkAudit_FastPath_Parallel-32                        	 7449994	       137.0 ns/op	     361 B/op	       3 allocs/op
BenchmarkAudit_FastPath_Parallel-32                        	 8653783	       134.7 ns/op	     361 B/op	       3 allocs/op
BenchmarkAudit_FastPath_Parallel-32                        	 7281228	       148.9 ns/op	     361 B/op	       3 allocs/op
BenchmarkAudit_FastPath_FanOut4_NoopOutputs-32             	 2414493	       449.8 ns/op	       0 B/op	       0 allocs/op
BenchmarkAudit_FastPath_FanOut4_NoopOutputs-32             	 2163372	       487.1 ns/op	       0 B/op	       0 allocs/op
BenchmarkAudit_FastPath_FanOut4_NoopOutputs-32             	 2327923	       467.5 ns/op	       0 B/op	       0 allocs/op
BenchmarkAudit_FastPath_FanOut4_NoopOutputs-32             	 2361646	       489.8 ns/op	       0 B/op	       0 allocs/op
BenchmarkAudit_FastPath_FanOut4_NoopOutputs-32             	 2420281	       454.3 ns/op	       0 B/op	       0 allocs/op
BenchmarkAudit_FastPath_WithHMAC_Noop-32                   	 3953334	       307.1 ns/op	      17 B/op	       0 allocs/op
BenchmarkAudit_FastPath_WithHMAC_Noop-32                   	 3685147	       313.4 ns/op	      18 B/op	       0 allocs/op
BenchmarkAudit_FastPath_WithHMAC_Noop-32                   	 3912553	       303.1 ns/op	      18 B/op	       0 allocs/op
BenchmarkAudit_FastPath_WithHMAC_Noop-32                   	 3984898	       295.4 ns/op	      17 B/op	       0 allocs/op
BenchmarkAudit_FastPath_WithHMAC_Noop-32                   	 3974415	       293.4 ns/op	      17 B/op	       0 allocs/op
BenchmarkAudit_FanOut_5DistinctFormatters-32               	 4202385	       284.1 ns/op	       1 B/op	       0 allocs/op
BenchmarkAudit_FanOut_5DistinctFormatters-32               	 4268710	       275.6 ns/op	       1 B/op	       0 allocs/op
BenchmarkAudit_FanOut_5DistinctFormatters-32               	 4103755	       284.8 ns/op	       1 B/op	       0 allocs/op
BenchmarkAudit_FanOut_5DistinctFormatters-32               	 4094772	       282.9 ns/op	       1 B/op	       0 allocs/op
BenchmarkAudit_FanOut_5DistinctFormatters-32               	 3898070	       286.5 ns/op	       1 B/op	       0 allocs/op
BenchmarkAudit_FanOut_8DistinctFormatters-32               	 4309790	       275.7 ns/op	       2 B/op	       0 allocs/op
BenchmarkAudit_FanOut_8DistinctFormatters-32               	 4394835	       274.2 ns/op	       2 B/op	       0 allocs/op
BenchmarkAudit_FanOut_8DistinctFormatters-32               	 4295408	       277.4 ns/op	       2 B/op	       0 allocs/op
BenchmarkAudit_FanOut_8DistinctFormatters-32               	 4273753	       274.3 ns/op	       2 B/op	       0 allocs/op
BenchmarkAudit_FanOut_8DistinctFormatters-32               	 4315851	       275.1 ns/op	       2 B/op	       0 allocs/op
BenchmarkProcessEntry_Drain-32                             	 1000000	      1148 ns/op	     440 B/op	       2 allocs/op
BenchmarkProcessEntry_Drain-32                             	 1000000	      1125 ns/op	     439 B/op	       2 allocs/op
BenchmarkProcessEntry_Drain-32                             	 1000000	      1032 ns/op	     439 B/op	       2 allocs/op
BenchmarkProcessEntry_Drain-32                             	 1000000	      1033 ns/op	     439 B/op	       2 allocs/op
BenchmarkProcessEntry_Drain-32                             	 1000000	      1016 ns/op	     439 B/op	       2 allocs/op
BenchmarkAudit_Parallelism/N=1-32                          	11709582	       100.6 ns/op	      30 B/op	       1 allocs/op
